Nº,CATEGORIA_APOYO,VALOR
01,LABORATORIOS,100
02,RAYOS X,0
03,TOMOGRAFÍA,200
04,ECOGRAFÍA,0
05,ENTREGA DE MEDICAMENTOS,0
06,AYUDAS TECNICAS,300
07,AYUDAS SOCIALES,0
08,TRASLADOS,0
09,INTERVENCIONES QX,0
