Nº,CATEGORIA_APOYO,VALOR
01,LABORATORIOS,430
02,RAYOS X,84
03,TOMOGRAFÍA,17
04,ECOGRAFÍA,104
05,ENTREGA DE MEDICAMENTOS,1735
06,AYUDAS TÉCNICAS ,17
07,AYUDAS SOCIALES,250
08,TRASLADOS,6
09,INTERVENCIONES QX,15
