Nº,NOMBRE,ATENCIONES
01,TUBERCULOSÍS,179
02,RUTA MATERNA,322
03,NUTRICIÓN,295
04,ENFERMEDADES DE TRASMISIÓN SEXUAL,243
05,SALUD MENTAL,118
06,CARDIOVASCULAR,160
07,INSULINA,152
08,TABLETAS,141
