Nº,CATEGORIA_APOYO,VALOR
01,Laboratorios ,315
02,Rayos X,21
03,Tomografías ,
04,Ecografías,
05,Entrega de Medicamentos ,
06,Ayudas Sociales ,
07,Ayudas Técnicas ,
08,Intervenciones Adultos ,1
09,Intervenciones Pediátricas,1
10,Traslados,4
