Nº,ESPECIALIDAD,ATENCIONES
01,MEDICINA INTERNA,6
02,CARDIOLOGÍA,2
03,NEUMONOLOGÍA,7
04,TRAUMATOLOGÍA,28
05,PEDIATRÍA,3
06,NEUROLOGÍA,24
07,NUTRICIÓN Y DIETÉTICA ,23
,,
09,CIRUGÍA GENERAL,21
10,ENDOCRINOLOGÍA,8
11,PSICOLOGÍA Y PSIQUIATRÍA,7
12,OFTALMOLOGÍA,64
13,ORL,31
14,CIRUGÍA PEDIÁTRICA,3
15,DERMATOLOGÍA,46
16,ODONTOLOGÍA,56
17,CARDIOPEDIATRÍA,8
18,UROLOGÍA,28
19,GASTROENTEROLOGÍA,16
20,GINECOLOGÍA,10
21,NEUMOLOGÍA PEDIÁTRICA ,3
