Nº,CATEGORIA_APOYO,VALOR
01,LABORATORIOS,967
02,RAYOS X,243
03,TOMOGRAFÍA,31
04,ECOGRAFÍA,104
05,ENTREGA DE MEDICAMENTOS,2146
06,AYUDAS TECNICAS,320
07,AYUDAS SOCIALES,169
08,INTERVENCIONES QX,23
09,TRASLADOS,5
